country_name,population,area,population,population_per_sq_km,male_life_expectancy,female_life_expectancy,birth_rate,death_rate,Cluster
Austria,8917000.0,83879.0,8917000.0,106.3,78.9,83.6,9.4,10.3,0
Belgium,11544000.0,30530.0,11544000.0,378.1,78.6,83.1,9.9,11.0,0
France,67380000.0,549087.0,67380000.0,122.7,79.2,85.3,10.9,9.9,3
Germany,83161000.0,357580.0,83161000.0,232.6,78.6,83.4,9.3,11.9,3
Liechtenstein,38137.0,161.0,38137.0,237.6,80.1,83.6,9.1,8.2,0
Luxembourg,630419.0,2590.0,630419.0,243.4,79.4,84.2,10.2,7.3,0
Netherlands,17442000.0,41543.0,17442000.0,419.8,79.8,83.1,9.7,9.7,0
Switzerland,8637000.0,41290.0,8637000.0,209.2,81.1,85.2,9.9,8.8,0
Belarus,9380000.0,207600.0,9380000.0,45.18,69.3,79.4,9.3,13.0,1
Bulgaria,6934000.0,111000.0,6934000.0,62.47,69.9,77.5,8.5,18.0,1
Czechia,10698000.0,78870.0,10698000.0,135.6,75.3,81.3,10.3,12.1,6
Hungary,9750000.0,93030.0,9750000.0,104.8,72.3,79.1,9.6,14.5,1
Moldova,2620000.0,33850.0,2620000.0,77.41,67.7,76.3,9.8,11.8,1
Poland,37899000.0,312680.0,37899000.0,121.2,72.6,80.8,9.4,12.6,1
Romania,19258000.0,238400.0,19258000.0,80.78,70.5,78.4,9.2,15.4,1
Russia,144104000.0,17098250.0,144104000.0,8.428,66.5,76.4,9.8,14.6,2
Slovakia,5459000.0,49030.0,5459000.0,111.3,73.5,80.4,10.4,10.8,6
Ukraine,44135000.0,603550.0,44135000.0,73.13,66.4,76.2,7.8,15.9,8
Denmark,5831000.0,42920.0,5831000.0,135.9,79.6,83.6,10.4,9.4,0
Estonia,1329000.0,45340.0,1329000.0,29.32,74.2,82.7,9.9,11.9,6
Finland,5530000.0,338450.0,5530000.0,16.34,79.4,85.0,8.4,10.0,5
Iceland,366463.0,103000.0,366463.0,3.558,81.7,84.5,12.3,6.3,7
Ireland,4986000.0,70280.0,4986000.0,70.94,80.4,84.1,11.2,6.4,7
Latvia,1900000.0,64490.0,1900000.0,29.47,70.9,80.1,9.2,15.2,1
Lithuania,2795000.0,65286.0,2795000.0,42.81,70.1,80.0,9.0,15.6,1
Norway,5379000.0,385203.0,5379000.0,13.97,81.6,84.9,9.8,7.5,0
Sweden,10353000.0,447430.0,10353000.0,23.14,80.7,84.2,10.9,9.5,0
United Kingdom,67215000.0,243610.0,67215000.0,275.9,79.0,82.9,10.2,10.4,3
Albania,2838000.0,28750.0,2838000.0,98.71,77.2,80.3,11.5,8.3,6
Greece,10701000.0,131960.0,10701000.0,81.09,78.6,83.7,7.9,12.2,5
Malta,515332.0,320.0,515332.0,1610.0,80.8,84.6,8.6,7.9,4
Montenegro,621306.0,13810.0,621306.0,44.99,73.2,78.8,11.4,11.7,6
Portugal,10297000.0,92226.0,10297000.0,111.7,78.0,84.1,8.2,12.0,5
Serbia,6899000.0,88360.0,6899000.0,78.08,71.4,77.2,8.9,16.9,1
Slovenia,2102000.0,20675.0,2102000.0,101.7,77.8,83.4,8.9,11.4,5
Spain,47363000.0,505935.0,47363000.0,93.62,79.7,85.1,7.1,10.4,5
